time,pos,vel,acc
0.000000000000000000e+00,-3.810283653438091859e-05,0.000000000000000000e+00,0.000000000000000000e+00
1.006515699999999992e-02,-4.245610156924361096e-05,-8.657218885480505270e-04,-1.291577745932161736e-01
1.341656700000000077e-02,-4.680936660410629655e-05,-1.482365840550550198e-03,-1.230099874185399678e-01
1.602989100000000097e-02,-5.116263163896898891e-05,-1.809536730366525549e-03,-1.187441437631420182e-01
1.825858899999999868e-02,-5.551589667383167450e-05,-1.834774377157794532e-03,9.947424949891676971e-02
2.079505499999999979e-02,-5.986916170869437364e-05,-1.540732866862474333e-03,1.226424747958552164e-01
2.398380699999999935e-02,-6.422242674355705923e-05,-8.596133235108749469e-04,1.305990120215522743e-01
3.628003700000000109e-02,-6.857569177841974482e-05,-8.596133235108749469e-04,-1.305990120215522743e-01
3.946878899999999718e-02,-7.292895681328243041e-05,-8.661422929568687000e-04,1.326596374119221322e-01
5.132762400000000225e-02,-7.728222184814512955e-05,6.419849275871147691e-05,1.027912756174297233e-02
2.072997380000000112e-01,0.000000000000000000e+00,9.370765670903780098e-02,4.968310393434532957e-01
8.017812939999999777e-01,1.111203890075700140e-01,2.184599129951056429e-01,1.214290926742966487e-01
1.246262849999999922e+00,2.222407780151400281e-01,2.500000000000000000e-01,0.000000000000000000e+00
1.690744405999999866e+00,3.333611670227100143e-01,2.500000000000000000e-01,0.000000000000000000e+00
2.135225961999999811e+00,4.444815560302800561e-01,2.500000000000000000e-01,0.000000000000000000e+00
2.579707518000000199e+00,5.556019450378500979e-01,2.500000000000000000e-01,0.000000000000000000e+00
3.024189074000000144e+00,6.667223340454200287e-01,2.500000000000000000e-01,0.000000000000000000e+00
3.468670630000000088e+00,7.778427230529901815e-01,2.500000000000000000e-01,0.000000000000000000e+00
3.913152186000000032e+00,8.889631120605601122e-01,2.234269439988658124e-01,-1.053479782699498074e-01
4.477633742000000083e+00,1.000083501068130154e+00,9.824569342477505740e-02,-4.962488491268295387e-01
4.707980787000000333e+00,1.000000000000000000e+00,-1.003806374256728667e-01,-5.097966870990179311e-01
5.262402564000000282e+00,8.888945558753537091e-01,-2.251993868515821395e-01,-9.931730779660198627e-02
5.706824339999999829e+00,7.777891117507074181e-01,-2.500000000000000000e-01,0.000000000000000000e+00
6.151246117000000346e+00,6.666836676260612382e-01,-2.500000000000000000e-01,0.000000000000000000e+00
6.595667892999999893e+00,5.555782235014148362e-01,-2.500000000000000000e-01,0.000000000000000000e+00
7.040089670000000410e+00,4.444727793767685453e-01,-2.500000000000000000e-01,0.000000000000000000e+00
7.484511445999999957e+00,3.333673352521223654e-01,-2.500000000000000000e-01,0.000000000000000000e+00
7.928933222999999586e+00,2.222618911274760745e-01,-2.500000000000000000e-01,0.000000000000000000e+00
8.373354999000000021e+00,1.111564470028297835e-01,-2.086106281089681047e-01,1.493064437418883117e-01
9.037776775999999401e+00,5.100287818349899408e-05,0.000000000000000000e+00,5.033587463047043409e-01
