time,pos,vel,acc
0.000000000000000000e+00,7.278022980816353793e-04,0.000000000000000000e+00,0.000000000000000000e+00
3.462399959999999943e-01,1.750877959233376191e-01,7.033046380486622784e-01,1.481287138543888382e+00
5.393237119999999551e-01,3.494477895485935681e-01,1.024816921818661353e+00,1.411432663885473726e+00
6.913899060000000540e-01,5.238077831738495727e-01,1.252268159108981038e+00,1.506945166790818691e+00
8.197911770000000375e-01,6.981677767991055772e-01,1.428965216019737472e+00,1.161452192861232913e+00
9.360311730000000496e-01,8.725277704243615817e-01,1.428965216019737472e+00,-1.161452192861233357e+00
1.064432443999999922e+00,1.046887764049617475e+00,1.252268159108981038e+00,-1.506945166790818913e+00
1.216498639000000104e+00,1.221247757674873480e+00,1.029332061605955584e+00,-1.366675712058107894e+00
1.407670635000000114e+00,1.395607751300129484e+00,7.262738934067363150e-01,-1.446444257519521326e+00
1.730267054000000027e+00,1.569967744925385489e+00,2.702838505406114922e-01,-1.469862410214709314e+00
2.142993063000000031e+00,1.570000000000000062e+00,-2.702943736721282186e-01,-1.470646840820066581e+00
2.465651015999999807e+00,1.395549525333832364e+00,-7.263625678394274310e-01,-1.445301693477766714e+00
2.656922216999999975e+00,1.221099050667664665e+00,-1.029332061605955584e+00,-1.365966867664002438e+00
2.809067323999999921e+00,1.046648576001496966e+00,-1.252268159108981038e+00,-1.506163569792880130e+00
2.937535226000000055e+00,8.721981013353293788e-01,-1.428965216019737250e+00,-1.160849790353701838e+00
3.053835542999999930e+00,6.977476266691616802e-01,-1.428965216019737250e+00,1.160849790353701838e+00
3.182303446000000147e+00,5.232971520029940926e-01,-1.252268159108981038e+00,1.506163569792880130e+00
3.334448552000000010e+00,3.488466773368263940e-01,-1.029332061605955584e+00,1.365966867664002438e+00
3.525719752999999734e+00,1.743962026706586954e-01,-7.263625678394274310e-01,1.445301693477766491e+00
3.848377705999999954e+00,-5.427199550904333961e-05,-2.702678084900975719e-01,1.469442209612426664e+00
4.261778888000000265e+00,0.000000000000000000e+00,2.703837027881776378e-01,1.468666467895587413e+00
4.584426160999999667e+00,1.744347713294749636e-01,7.263471804722717584e-01,1.445499919773456821e+00
4.775680144999999932e+00,3.488695426589499271e-01,1.029332061605955584e+00,1.366089837628482684e+00
4.927811555999999982e+00,5.233043139884248074e-01,1.252268159108981038e+00,1.506299160842018425e+00
5.056267895000000401e+00,6.977390853178998542e-01,1.428965216019737472e+00,1.160954294833905331e+00
5.172557742000000403e+00,8.721738566473747900e-01,1.408996949454321967e+00,-1.464021626687852740e+00
5.304906435999999559e+00,1.046608627976849615e+00,1.221003559678068395e+00,-1.349252721998888571e+00
5.460095689000000085e+00,1.221043399306324773e+00,9.916066684595907788e-01,-1.478538778520727126e+00
5.663115645999999614e+00,1.395478170635799708e+00,6.089527346357659354e-01,-1.452162031743828408e+00
6.149405493999999806e+00,1.569912941965274644e+00,0.000000000000000000e+00,-1.475273870531547571e+00
