Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,5.69641035035705E-08,-7.52429850161379E-09,0.0534781808387783,0,0,0,2.12515524577406,0.00919560446596015,2.13793974775614E-09,-1.7577731702399E-09,0.00919559841583678,3.46157313086279E-10,0.011098052703463,0,0,0,0,0,0,package://mantra_description/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://mantra_description/meshes/base_link.STL,,BASE-1,coordinate0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,0
link1,3.33697354947913E-06,0.0376725326992402,0.113954575937932,0,0,0,0.449846417611502,0.00281542194513947,-2.97928363529203E-08,2.31552459198658E-09,0.00237879024815951,-0.000689611051918419,0.00161666621542504,0,0,0,0,0,0,package://mantra_description/meshes/link1.STL,1,1,1,1,0,0,0,0,0,0,package://mantra_description/meshes/link1.STL,,ARM8484-1,coordinate1,axis1,joint1,revolute,0,0,0.2005,0,0,0,base_link,0,0,-1,0,0,-1.5708,1.5708,,,,,,,,0
link2,3.33697354947008E-06,0.0560454240620685,0.0376725326992408,0,0,0,0.449846417611509,0.00281542194513949,-2.3155245922964E-09,-2.97928363554505E-08,0.00161666621542506,0.000689611051918419,0.00237879024815952,0,0,0,0,0,0,package://mantra_description/meshes/link2.STL,1,1,1,1,0,0,0,0,0,0,package://mantra_description/meshes/link2.STL,,ARM8484-2,coordinate2,axis2,joint2,revolute,0,0,0.17,1.5707963267949,0,0,link1,0,0,1,0,0,-1.5708,1.5708,,,,,,,,0
link3,-7.12565212158442E-06,0.0300289146661516,0.103545651609834,0,0,0,0.392582340089193,0.0020755242879527,1.39339603463947E-08,-2.854811113402E-08,0.00178702026485436,-0.000503155834932376,0.00121405044233485,0,0,0,0,0,0,package://mantra_description/meshes/link3.STL,1,1,1,1,0,0,0,0,0,0,package://mantra_description/meshes/link3.STL,,ARM8475-1,coordinate3,axis3,joint3,revolute,0,0.17,0,-1.5707963267949,0,0,link2,0,0,1,0,0,-1.5708,1.5708,,,,,,,,0
link4,9.5043585751514E-07,0.0539665921441029,0.0317108566437211,0,0,0,0.367226253241491,0.00189945127986856,1.10761786473211E-08,-3.7570793904099E-09,0.00102605162314097,0.000467411288512599,0.00163165412446067,0,0,0,0,0,0,package://mantra_description/meshes/link4.STL,1,1,1,1,0,0,0,0,0,0,package://mantra_description/meshes/link4.STL,,ARM7575-1,coordinate4,axis4,joint4,revolute,0,0,0.16,1.5707963267949,0,0,link3,0,0,-1,0,0,-1.5708,1.5708,,,,,,,,0
link5,9.51012096351934E-07,0.0317108567627314,0.106033406535695,0,0,0,0.367226254016741,0.00189945125870264,-3.75974500932253E-09,-1.10613008672603E-08,0.00163165410820963,-0.000467411240126133,0.00102605163568241,0,0,0,0,0,0,package://mantra_description/meshes/link5.STL,1,1,1,1,0,0,0,0,0,0,package://mantra_description/meshes/link5.STL,,ARM7575-3,coordinate5,axis5,joint5,revolute,0,0.16,0,-1.5707963267949,0,0,link4,0,0,-1,0,0,-1.5708,1.5708,,,,,,,,0
link6,9.50435834835184E-07,0.0539665921440784,0.0317108566434664,0,0,0,0.367226253239117,0.00189945137374859,1.10879827352058E-08,-3.81500844090566E-09,0.00102605167941246,0.000467411315869438,0.00163165420801843,0,0,0,0,0,0,package://mantra_description/meshes/link6.STL,1,1,1,1,0,0,0,0,0,0,package://mantra_description/meshes/link6.STL,,ARM7575-2,coordinate6,axis6,joint6,revolute,0,0,0.16,1.5707963267949,0,0,link5,0,0,1,0,0,-1.5708,1.5708,,,,,,,,0
link7,7.46099887346881E-17,-1.10416395174554E-05,-0.0250031652588534,0,0,0,0.14043817532843,0.000166560052257127,2.71160607993557E-20,-8.59213210250315E-20,0.000166602712740968,2.78725555163462E-08,0.000232492320290339,0,0,0,0,0,0,package://mantra_description/meshes/link7.STL,1,1,1,1,0,0,0,0,0,0,package://mantra_description/meshes/link7.STL,,TOP-1;GRIPPER-1,coordinate8,axis7,joint7,revolute,0,0.2255,0,-1.5708,0,0,link6,0,0,-1,0,0,-1.5708,1.5708,,,,,,,,0
ee_link1,2.85464193978627E-17,0.046,0.002,0,0,0,0.00194999999999999,1.50312499999997E-07,6.61485086202342E-25,1.48998375260736E-23,1.73712499999997E-07,-4.21006794862361E-25,3.15249999999998E-08,0,0,0,0,0,0,package://mantra_description/meshes/ee_link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://mantra_description/meshes/ee_link1.STL,,FINGERR-2,coordinate9,axis9,ee_joint1,prismatic,0,0,0.126,0,0,0,link7,0,-1,0,0,0,0,0.45,,,,,,,,0
ee_link2,1.46922127701119E-17,-0.046,0.002,0,0,0,0.00194999999999999,1.50312499999997E-07,6.61485086202342E-25,1.48998375260736E-23,1.73712499999997E-07,-4.21006794862361E-25,3.15249999999998E-08,0,0,0,0,0,0,package://mantra_description/meshes/ee_link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://mantra_description/meshes/ee_link2.STL,,FINGERL-3,coordinate9,axis9,ee_joint2,prismatic,0,0,0.126,0,0,0,link7,0,1,0,0,0,-0.45,0,,,,,,,,0
